County,Registered Voters,Total Voted,Percent Voted
SUMTER,"17,689","9,496",53.70%
TALBOT,"4,332","2,485",57.40%
TALIAFERRO,"1,217",729,59.90%
TATTNALL,"11,945","6,219",52.10%
TAYLOR,"5,310","3,163",59.60%
TELFAIR,"5,872","3,053",52.00%
TERRELL,"6,472","3,175",49.10%
THOMAS,"28,918","17,625",60.90%
TIFT,"23,372","12,389",53.00%
TOOMBS,"15,574","8,528",54.80%
TOWNS,"9,445","6,870",72.70%
TREUTLEN,"4,129","2,537",61.40%
TROUP,"41,489","22,433",54.10%
TURNER,"5,392","3,081",57.10%
TWIGGS,"6,154","3,166",51.40%
UNION,"18,181","11,870",65.30%
UPSON,"17,664","10,897",61.70%
WALKER,"40,977","22,685",55.40%
WALTON,"67,473","39,594",58.70%
WARE,"19,854","11,012",55.50%
WARREN,"3,720","2,156",58.00%
WASHINGTON,"12,765","6,825",53.50%
WAYNE,"17,314","9,806",56.60%
WEBSTER,"1,687","1,116",66.20%
WHEELER,"3,052","1,632",53.50%
WHITE,"20,038","10,843",54.10%
WHITFIELD,"53,306","24,831",46.60%
WILCOX,"4,293","2,250",52.40%
WILKES,"6,671","3,790",56.80%
WILKINSON,"6,285","2,935",46.70%
WORTH,"13,612","5,918",43.50%
