County,Registered Voters,Total Voted,Percent Voted
JACKSON,"50,368","31,491",62.50%
JASPER,"10,049","5,725",57.00%
JEFF DAVIS,"8,219","4,069",49.50%
JEFFERSON,"11,072","5,362",48.40%
JENKINS,"4,915","2,559",52.10%
JOHNSON,"5,537","3,115",56.30%
JONES,"20,047","10,503",52.40%
LAMAR,"12,571","6,708",53.40%
LANIER,"5,276","2,864",54.30%
LAURENS,"31,776","14,989",47.20%
LEE,"22,503","12,657",56.20%
LIBERTY,"32,657","17,659",54.10%
LINCOLN,"5,972","3,453",57.80%
LONG,"8,899","3,850",43.30%
LOWNDES,"73,737","37,025",50.20%
LUMPKIN,"21,847","13,111",60.00%
MACON,"6,784","3,600",53.10%
MADISON,"20,069","10,569",52.70%
MARION,"4,745","2,623",55.30%
MCDUFFIE,"14,361","8,910",62.00%
MCINTOSH,"9,007","5,390",59.80%
MERIWETHER,"14,915","7,427",49.80%
MILLER,"3,780","2,125",56.20%
MITCHELL,"12,910","6,524",50.50%
MONROE,"20,808","11,730",56.40%
MONTGOMERY,"5,195","2,566",49.40%
MORGAN,"14,629","9,305",63.60%
MURRAY,"21,276","10,907",51.30%
MUSCOGEE,"127,655","66,814",52.30%
NEWTON,"75,706","35,920",47.40%
OCONEE,"28,973","21,711",74.90%
OGLETHORPE,"10,683","6,627",62.00%
PAULDING,"109,852","70,908",64.50%
PEACH,"17,146","10,529",61.40%
PICKENS,"23,014","9,656",42.00%
PIERCE,"12,296","7,697",62.60%
PIKE,"13,357","8,028",60.10%
POLK,"23,060","13,763",59.70%
PULASKI,"5,518","3,527",63.90%
PUTNAM,"15,494","9,763",63.00%
QUITMAN,"1,482",776,52.40%
RABUN,"12,784","8,156",63.80%
RANDOLPH,"4,263","2,334",54.80%
RICHMOND,"128,453","65,422",50.90%
ROCKDALE,"64,691","38,116",58.90%
SCHLEY,"2,781","1,900",68.30%
SCREVEN,"9,753","4,724",48.40%
SEMINOLE,"5,684","2,602",45.80%
SPALDING,"44,138","21,109",47.80%
STEPHENS,"16,570","9,311",56.20%
STEWART,"2,744","1,392",50.70%
SUMTER,"17,689","9,418",53.20%
TALBOT,"4,332","2,466",56.90%
TALIAFERRO,"1,217",719,59.10%
TATTNALL,"11,945","6,192",51.80%
TAYLOR,"5,310","3,100",58.40%
TELFAIR,"5,872","3,027",51.50%
TERRELL,"6,472","3,141",48.50%
THOMAS,"28,918","17,540",60.70%
TIFT,"23,372","12,314",52.70%
TOOMBS,"15,574","8,490",54.50%
TOWNS,"9,445","6,834",72.40%
TREUTLEN,"4,129","2,527",61.20%
TROUP,"41,489","22,269",53.70%
TURNER,"5,392","3,070",56.90%
TWIGGS,"6,154","3,157",51.30%
UNION,"18,181","11,837",65.10%
UPSON,"17,664","10,843",61.40%
WALKER,"40,977","22,567",55.10%
WALTON,"67,473","39,365",58.30%
WARE,"19,854","10,981",55.30%
WARREN,"3,720","2,150",57.80%
WASHINGTON,"12,765","6,774",53.10%
WAYNE,"17,314","9,779",56.50%
WEBSTER,"1,687","1,109",65.70%
WHEELER,"3,052","1,581",51.80%
WHITE,"20,038","10,802",53.90%
WHITFIELD,"53,306","24,656",46.30%
WILCOX,"4,293","2,246",52.30%
WILKES,"6,671","3,770",56.50%
WILKINSON,"6,285","2,926",46.60%
WORTH,"13,612","5,893",43.30%
