County,Registered Voters,Total Voted,Percent Voted
MCDUFFIE,"14,361","8,961",62.40%
MCINTOSH,"9,007","5,414",60.10%
MERIWETHER,"14,915","7,461",50.00%
MILLER,"3,780","2,129",56.30%
MITCHELL,"12,910","6,600",51.10%
MONROE,"20,808","11,780",56.60%
MONTGOMERY,"5,195","2,594",49.90%
MORGAN,"14,629","9,328",63.80%
MURRAY,"21,276","10,950",51.50%
MUSCOGEE,"127,655","67,681",53.00%
NEWTON,"75,706","36,451",48.10%
OCONEE,"28,973","21,827",75.30%
OGLETHORPE,"10,683","6,653",62.30%
PAULDING,"109,852","71,643",65.20%
PEACH,"17,146","10,752",62.70%
PICKENS,"23,014","10,061",43.70%
PIERCE,"12,296","7,724",62.80%
PIKE,"13,357","8,061",60.40%
POLK,"23,060","13,849",60.10%
PULASKI,"5,518","3,544",64.20%
PUTNAM,"15,494","9,847",63.60%
QUITMAN,"1,482",783,52.80%
RABUN,"12,784","8,188",64.00%
RANDOLPH,"4,263","2,348",55.10%
RICHMOND,"128,453","66,290",51.60%
ROCKDALE,"64,691","38,638",59.70%
SCHLEY,"2,781","1,908",68.60%
SCREVEN,"9,753","4,745",48.70%
SEMINOLE,"5,684","2,642",46.50%
SPALDING,"44,138","21,311",48.30%
STEPHENS,"16,570","9,386",56.60%
STEWART,"2,744","1,419",51.70%
SUMTER,"17,689","9,496",53.70%
TALBOT,"4,332","2,487",57.40%
TALIAFERRO,"1,217",729,59.90%
TATTNALL,"11,945","6,225",52.10%
TAYLOR,"5,310","3,199",60.20%
TELFAIR,"5,872","3,054",52.00%
TERRELL,"6,472","3,176",49.10%
THOMAS,"28,918","17,629",61.00%
TIFT,"23,372","12,393",53.00%
TOOMBS,"15,574","8,528",54.80%
TOWNS,"9,445","6,872",72.80%
TREUTLEN,"4,129","2,537",61.40%
TROUP,"41,489","22,436",54.10%
TURNER,"5,392","3,082",57.20%
TWIGGS,"6,154","3,169",51.50%
UNION,"18,181","11,870",65.30%
UPSON,"17,664","10,901",61.70%
WALKER,"40,977","22,686",55.40%
WALTON,"67,473","39,604",58.70%
WARE,"19,854","11,014",55.50%
WARREN,"3,720","2,156",58.00%
WASHINGTON,"12,765","6,825",53.50%
WAYNE,"17,314","9,808",56.60%
WEBSTER,"1,687","1,116",66.20%
WHEELER,"3,052","1,633",53.50%
WHITE,"20,038","10,847",54.10%
WHITFIELD,"53,306","24,833",46.60%
WILCOX,"4,293","2,250",52.40%
WILKES,"6,671","3,790",56.80%
WILKINSON,"6,285","2,935",46.70%
WORTH,"13,612","5,919",43.50%
